sort	code_glot	type_src	id_RefLex	name	genus	family_wals	lat	long
289	awut1241	Phoible	NA	Awutu	Kwa	Niger-Congo	5.42441	-0.59545
290	bafa1249	Phoible	NA	Bafanji	Bantoid	Niger-Congo	5.84612	10.4518
291	bafu1246	Phoible	NA	Bafut	Bantoid	Niger-Congo	6.14153	10.1194
292	bagi1246	Phoible	NA	Bagirmi	Bongo-Bagirmi	Central Sudanic	11.5239	14.7695
293	baka1273	Phoible	NA	Bakaka	Bantoid	Niger-Congo	4.79991	9.80402
294	bako1249	Phoible	NA	Bakoko	Bantoid	Niger-Congo	3.56518	9.99905
295	bamb1265	Phoible	NA	Bambalang	Bantoid	Niger-Congo	5.861	10.544
296	bamb1262	Phoible	NA	Bambassi	North Omotic	Afro-Asiatic	9.82554	34.6522
297	bame1260	Phoible	NA	Bamenyam	Bantoid	Niger-Congo	5.77049	10.3302
298	bang1356	Phoible	NA	Bangolan	Bantoid	Niger-Congo	6.0125	10.667
299	bare1279	Phoible	NA	Barein	East Chadic	Afro-Asiatic	11.1168	18.0764
300	bata1285	Phoible	NA	Batanga	Bantoid	Niger-Congo	2.08708	9.75107
301	beem1239	Phoible	NA	Beembe	Bantoid	Niger-Congo	-3.95895	14.1
302	bemb1257	Phoible	NA	Bemba (Zambia)	Bantoid	Niger-Congo	-10.6122	29.2993
303	benc1235	Phoible	NA	Bench	North Omotic	Afro-Asiatic	7.04682	35.7673
304	bert1248	Phoible	NA	Berta	Berta	Berta	10.6474	34.7042
305	bial1238	Phoible	NA	Biali	Gur	Niger-Congo	11.0382	1.08259
306	bili1260	Phoible	NA	Bilin	Central Cushitic	Afro-Asiatic	15.7833	38.3917
307	biss1248	Phoible	NA	Bissa	Southeastern Mande	Niger-Congo	10.4257	-1.67332
308	bong1285	Phoible	NA	Bongo	Bongo-Bagirmi	Central Sudanic	7.4145	27.9918
309	bora1271	Phoible	NA	Borana-Arsi-Guji Oromo	Eastern Cushitic	Afro-Asiatic	1.05676	37.882
310	boro1277	Phoible	NA	Boro (Ethiopia)	North Omotic	Afro-Asiatic	10.6596	35.345
311	buku1249	Phoible	NA	Bukusu	Bantoid	Niger-Congo	0.68043	34.7719
312	burj1242	Phoible	NA	Burji	Eastern Cushitic	Afro-Asiatic	4.44624	38.4646
313	buru1301	Phoible	NA	Burun	Nilotic	Nilotic	10.725	33.921
314	came1252	Phoible	NA	Cameroon Mambila	Bantoid	Niger-Congo	6.43829	11.4195
315	cent2194	Phoible	NA	Central Atlas Tamazight	Berber	Afro-Asiatic	32.7415	-2.40872
316	cent2050	Phoible	NA	Central Kanuri	Western Saharan	Saharan	11.8863	16.3918
317	cent2018	Phoible	NA	Central-Eastern Niger Fulfulde	Northern Atlantic	Niger-Congo	15.0907	8.43261
318	chop1243	Phoible	NA	Chopi	Bantoid	Niger-Congo	-24.8327	34.1097
319	cuvo1236	Phoible	NA	Cuvok	Biu-Mandara	Afro-Asiatic	10.6448	14.0006
320	dagi1241	Phoible	NA	Dagik	Talodi Proper	Talodi Proper	10.583	29.9404
321	daha1245	Phoible	NA	Dahalo	Southern Cushitic	Afro-Asiatic	-2.1843	40.37
322	dang1274	Phoible	NA	Dangaleat	East Chadic	Afro-Asiatic	12.1517	18.385
323	darf1239	Phoible	NA	Dar Fur Daju	Daju	Daju	12.2598	25.3127
324	dawr1236	Phoible	NA	Dawro	North Omotic	Afro-Asiatic	6.58	37.14
325	tebu1238	Phoible	NA	Dazaga	Western Saharan	Saharan	15.7358	15.8517
326	dghw1239	Phoible	NA	Dghwede	Biu-Mandara	Afro-Asiatic	11.0575	13.7785
327	dibo1245	Phoible	NA	Dibole	Bantoid	Niger-Congo	1.07773	17.2305
328	didi1258	Phoible	NA	Didinga	Surmic	Surmic	4.21489	33.6869
329	sout2833	Phoible	NA	South Central Dinka	Nilotic	Nilotic	6.73	30.30
330	diri1252	Phoible	NA	Diriku	Bantoid	Niger-Congo	-18.1681	20.6678
331	dizi1235	Phoible	NA	Dizin	Dizoid	Dizoid	6.1405	35.5763
332	domp1238	Phoible	NA	Dompo	Kwa	Niger-Congo	8.182	-2.295
333	dual1243	Phoible	NA	Duala	Bantoid	Niger-Congo	4.10208	9.61877
334	east2652	Phoible	NA	Eastern Oromo	Eastern Cushitic	Afro-Asiatic	8.67428	41.4395
335	ebir1243	Phoible	NA	Ebira	Nupoid	Niger-Congo	8.15516	7.06183
336	egyp1253	Phoible	NA	Egyptian Arabic	Semitic	Afro-Asiatic	31	31
337	elip1238	Phoible	NA	Elip	Bantoid	Niger-Congo	4.45694	11.193
338	fali1285	Phoible	NA	Fali	Biu-Mandara	Afro-Asiatic	10.5419	13.4087
339	fefe1239	Phoible	NA	Fe'fe'	Bantoid	Niger-Congo	5.18158	10.1442
340	fern1234	Phoible	NA	Fernando Po Creole English	Creoles and Pidgins	other	3.53638	8.68929
341	fuli1240	Phoible	NA	Fuliiru	Bantoid	Niger-Congo	-3.04022	28.9865
342	furr1244	Phoible	NA	Fur	Fur	Furan	12.0455	23.6401
343	fwee1238	Phoible	NA	Fwe	Bantoid	Niger-Congo	-17.7237	24.4315
344	gaam1241	Phoible	NA	Gaam	Eastern Jebel	Eastern Jebel	11.4674	33.9797
345	gamo1243	Phoible	NA	Gamo	North Omotic	Afro-Asiatic	6.666666667	37.25
346	ghom1247	Phoible	NA	Ghomala'	Bantoid	Niger-Congo	5.39619	10.352
347	glav1244	Phoible	NA	Glavda	Biu-Mandara	Niger-Congo	11.1334	13.8652
348	gude1246	Phoible	NA	Gude	Biu-Mandara	Afro-Asiatic	10.2138	13.403
349	gumu1244	Phoible	NA	Gumuz	Gumuz	Gumuz	11.2873	35.3803
350	hadi1240	Phoible	NA	Hadiyya	Eastern Cushitic	Afro-Asiatic	7.57377	37.7577
351	hadz1240	Phoible	NA	Hadza	Hadza	Hadza	-3.83115	35.0458
352	haio1238	Phoible	NA	Hai//om	Khoe-Kwadi	Khoe-Kwadi	-19.7637	17.0299
353	hame1242	Phoible	NA	Hamer-Banna	South Omotic	Afro-Asiatic	5.06515	36.5176
354	hara1271	Phoible	NA	Harari	Semitic	Afro-Asiatic	9.30485	42.1332
355	haus1257	Phoible	NA	Hausa	West Chadic	Afro-Asiatic	11.1513	8.7804
356	hdii1240	Phoible	NA	Hdi	Biu-Mandara	Afro-Asiatic	10.942	13.6881
357	heib1243	Phoible	NA	Heiban	Heiban	Heiban	11.2908	30.5282
358	here1253	Phoible	NA	Herero	Bantoid	Niger-Congo	-21.0231	20.5655
359	huba1236	Phoible	NA	Huba	Biu-Mandara	Afro-Asiatic	10.3544	13.139
360	hung1278	Phoible	NA	Hungana	Bantoid	Niger-Congo	-3.69695	18.4312
361	ikwe1242	Phoible	NA	Ikwere	Igboid	Niger-Congo	5.04333	6.86651
362	inor1238	Phoible	NA	Inor	Semitic	Afro-Asiatic	7.94883	37.7968
363	iraq1241	Phoible	NA	Iraqw	Southern Cushitic	Afro-Asiatic	-4.19948	35.2939
364	jumj1238	Phoible	NA	Jumjum	Nilotic	Nilotic	10.4349	33.7494
365	kaby1243	Phoible	NA	Kabyle	Berber	Afro-Asiatic	36.4103	4.76137
366	kafa1242	Phoible	NA	Kafa	South Omotic	Afro-Asiatic	7.34022	36.1718
367	kagf1238	Phoible	NA	Kag-Fer-Jiir-Koor-Ror-Us-Zuksun	Kainji	Niger-Congo	11.5319	4.8387
368	kala1384	Phoible	NA	Kalanga	Bantoid	Niger-Congo	-21.2887	27.401
369	kamb1316	Phoible	NA	Kambaata	Eastern Cushitic	Afro-Asiatic	7.37582	37.9088
370	kamw1239	Phoible	NA	Kamwe	Biu-Mandara	Afro-Asiatic	10.646	13.5136
371	kang1288	Phoible	NA	Kanga	Kadugli	Kadugli	11.0174	29.3463
372	kara1483	Phoible	NA	Karamojong	Nilotic	Nilotic	2.45157	34.2761
373	kase1253	Phoible	NA	Kasem	Gur	Niger-Congo	11.0824	-1.39076
374	katc1249	Phoible	NA	Katcha-Kadugli-Miri	Kadugli	Kadugli	10.8423	29.4914
375	keig1242	Phoible	NA	Keiga	Kadugli	Kadugli	11.2064	29.3889
376	kera1255	Phoible	NA	Kera	East Chadic	Afro-Asiatic	9.88165	15.1419
377	kgal1244	Phoible	NA	Kgalagadi	Bantoid	Niger-Congo	-25.9208	22.7202
378	kiku1240	Phoible	NA	Kikuyu	Bantoid	Niger-Congo	-0.29005	36.719
379	kiny1244	Phoible	NA	Kinyarwanda	Bantoid	Niger-Congo	-1.56771	29.6441
380	kips1239	Phoible	NA	Kipsigis	Nilotic	Nilotic	-0.35774	35.258532
381	kisa1263	Phoible	NA	Kisa	Bantoid	Niger-Congo	0.15	34.57
382	kist1241	Phoible	NA	Kistane	Semitic	Afro-Asiatic	8.33561	38.4763
383	kitu1245	Phoible	NA	Kituba (Congo)	Creoles and Pidgins	other	-4.15654	14.5648
384	kitu1246	Phoible	NA	Kituba (Democratic Republic of Congo)	Creoles and Pidgins	other	-2.29601	17.1548
385	koal1240	Phoible	NA	Koalib	Heiban	Heiban	11.6965	30.4717
386	kofy1242	Phoible	NA	Kofyar	West Chadic	Afro-Asiatic	8.79947	9.15279
387	komo1258	Phoible	NA	Komo (Sudan)	Koman	Koman	8.94162	34.0939
388	koor1239	Phoible	NA	Koorete	North Omotic	Afro-Asiatic	5.80545	37.8679
389	koyr1240	Phoible	NA	Koyra Chiini Songhay	Songhay	Songhay	16.192	-3.73962
390	koyr1242	Phoible	NA	Koyraboro Senni Songhai	Songhay	Songhay	16.9634	-0.55187
391	kron1241	Phoible	NA	Krongo	Kadugli	Kadugli	10.514	30.003
392	kuan1247	Phoible	NA	Kuanyama	Bantoid	Niger-Congo	-17.7176	16.58
393	kuna1268	Phoible	NA	Kunama	Kunama	Kunama	14.5879	37.5292
394	kuny1238	Phoible	NA	Kunyi	Bantoid	Niger-Congo	-3.69702	12.5197
395	kups1238	Phoible	NA	Kupsabiny	Nilotic	Nilotic	1.33197	34.5991
396	kute1248	Phoible	NA	Kutep	Platoid	Niger-Congo	7.07479	10.0916
397	koma1249	Phoible	NA	Kwama	Koman	Koman	9.50836	34.2457
398	kwam1251	Phoible	NA	Kwambi	Bantoid	Niger-Congo	-18.0339	15.7294
399	kwam1250	Phoible	NA	Kwami	Bantoid	Niger-Congo	-1.53712	27.4633
400	kwas1243	Phoible	NA	Kwasio	Bantoid	Niger-Congo	2.39354	10.0812
401	kwes1244	Phoible	NA	Kwese	Bantoid	Niger-Congo	-5.60445	18.5759
402	kxoe1243	Phoible	NA	Kxoe	Khoe-Kwadi	Khoe-Kwadi	-16.5905	22.5998
403	lagw1237	Phoible	NA	Lagwan	Biu-Mandara	Afro-Asiatic	11.5592	14.9884
404	lama1288	Phoible	NA	Lamang	Biu-Mandara	Afro-Asiatic	11.0243	13.7362
405	lang1320	Phoible	NA	Langi	Bantoid	Niger-Congo	-4.71413	35.9517
406	lang1322	Phoible	NA	Lango (Sudan)	Nilotic	Nilotic	4.04948	33.0412
407	lang1324	Phoible	NA	Lango (Uganda)	Nilotic	Nilotic	2.13867	33.0553
408	lega1249	Phoible	NA	Lega-Shabunda	Bantoid	Niger-Congo	-3.83196	27.1424
409	liby1240	Phoible	NA	Libyan Arabic	Semitic	Afro-Asiatic	22.0032	15.0014
410	ling1263	Phoible	NA	Lingala	Bantoid	Niger-Congo	1.40324	19.7829
411	luch1239	Phoible	NA	Luchazi	Bantoid	Niger-Congo	-14.0648	22.2437
412	lumu1239	Phoible	NA	Lumun	Talodi Proper	Talodi Proper	10.8308	30.253
413	lund1266	Phoible	NA	Lunda	Bantoid	Niger-Congo	-11.1793	23.8662
414	luva1239	Phoible	NA	Luvale	Bantoid	Niger-Congo	-13.5382	22.2924
415	luwo1239	Phoible	NA	Luwo	Nilotic	Nilotic	7.35089	28.1378
416	luya1241	Phoible	NA	Luyana	Bantoid	Niger-Congo	-15.2221	18.8037
417	maay1238	Phoible	NA	Maay	Eastern Cushitic	Afro-Asiatic	3.22288	43.6182
418	maba1277	Phoible	NA	Maba (Chad)	Maban	Maban	12.8915	20.8889
419	maba1273	Phoible	NA	Mabaan	Nilotic	Nilotic	9.81455	33.5404
420	mach1276	Phoible	NA	Machame	Bantoid	Niger-Congo	-3.29385	37.0703
421	marg1265	Phoible	NA	Marghi Central	Biu-Mandara	Afro-Asiatic	10.8385	12.9952
422	mark1255	Phoible	NA	Markweeta	Nilotic	Nilotic	1.15018	35.5866
423	masa1300	Phoible	NA	Masai	Nilotic	Nilotic	-3.1419	36.4573
424	matu1259	Phoible	NA	Matumbi	Bantoid	Niger-Congo	-8.53734	39.0409
425	mawa1270	Phoible	NA	Mawa (Chad)	East Chadic	Afro-Asiatic	11.7461	18.2999
426	mbal1255	Phoible	NA	Mbalanhu	Bantoid	Niger-Congo	-19.593	16.617
427	mbay1241	Phoible	NA	Mbay	Bongo-Bagirmi	Central Sudanic	8.23066	15.7328
428	mboc1235	Phoible	NA	Mbo (Cameroon)	Bantoid	Niger-Congo	5.13981	9.92766
429	mbuk1240	Phoible	NA	Mbukushu	Bantoid	Niger-Congo	-17.6827	22.5026
430	medu1238	Phoible	NA	Medumba	Bantoid	Niger-Congo	5.10901	10.6118
431	meen1242	Phoible	NA	Me'en	Surmic	Surmic	6.63207	35.6255
432	mere1246	Phoible	NA	Merey	Biu-Mandara	Afro-Asiatic	10.7458	14.09
433	mesq1240	Phoible	NA	Mesqan	Semitic	Afro-Asiatic	8.10617	38.3386
434	meta1238	Phoible	NA	Meta'	Bantoid	Niger-Congo	5.88942	9.87416
435	mina1276	Phoible	NA	Mina (Cameroon)	Biu-Mandara	Afro-Asiatic	10.3805	13.8405
436	mmaa1238	Phoible	NA	Mmaala	Bantoid	Niger-Congo	4.52188	11.0599
437	mmen1238	Phoible	NA	Mmen	Bantoid	Niger-Congo	6.43213	10.2541
438	molo1266	Phoible	NA	Moloko	Biu-Mandara	Afro-Asiatic	10.7933	14.2521
439	mong1338	Phoible	NA	Mongo (Atlantic-Congo)	Bantoid	Niger-Congo	-1.54228	20.4259
440	moro1285	Phoible	NA	Moro	Heiban	Heiban	10.9194	30.2138
441	moro1292	Phoible	NA	Moroccan Arabic	Semitic	Afro-Asiatic	32.5	-7.5
442	moss1236	Phoible	NA	Mossi	Gur	Niger-Congo	10.4524	-1.17278
443	mpad1242	Phoible	NA	Mpade	Biu-Mandara	Afro-Asiatic	12.4609	14.5833
444	mung1266	Phoible	NA	Mungaka	Bantoid	Niger-Congo	5.89752	10.0294
445	murl1244	Phoible	NA	Murle	Surmic	Surmic	6.69756	33.988
446	muya1243	Phoible	NA	Muyang	Biu-Mandara	Afro-Asiatic	10.8605	14.2125
447	mwal1237	Phoible	NA	Mwali Comorian	Bantoid	Niger-Congo	-12.3164	43.741
448	mwan1247	Phoible	NA	Mwani	Bantoid	Niger-Congo	-12.5821	40.4601
449	nama1264	Phoible	NA	Nama (Namibia)	Khoe-Kwadi	Khoe-Kwadi	-25.0747	17.9767
450	nand1266	Phoible	NA	Nandi	Nilotic	Nilotic	0.793737	35.408478
451	nara1262	Phoible	NA	Nara	Nara	Nara	15.3251	37.499
452	nari1240	Phoible	NA	Narim	Surmic	Surmic	4.80331	33.3312
453	ndem1249	Phoible	NA	Ndemli	Bantoid	Niger-Congo	4.58061	10.2197
454	ndon1254	Phoible	NA	Ndonga	Bantoid	Niger-Congo	-17.6417	19.1631
455	ndzw1235	Phoible	NA	Ndzwani Comorian	Bantoid	Niger-Congo	-12.2123	44.3709
456	ngam1268	Phoible	NA	Ngambay	Bongo-Bagirmi	Central Sudanic	8.57051	15.414
457	ngan1300	Phoible	NA	Ngandyera	Bantoid	Niger-Congo	-16.6359	21.1928
458	ngas1238	Phoible	NA	Ngasa	Nilotic	Nilotic	-2.97716	37.528
459	ngaz1238	Phoible	NA	Ngazidja Comorian	Bantoid	Niger-Congo	-11.6129	43.36
460	ngem1255	Phoible	NA	Ngemba	Bantoid	Niger-Congo	5.97864	10.1469
461	ngie1241	Phoible	NA	Ngiemboon	Bantoid	Niger-Congo	5.56777	10.1266
462	ngom1272	Phoible	NA	Ngomba	Bantoid	Niger-Congo	5.63067	10.237
463	ngom1271	Phoible	NA	Ngombale	Bantoid	Niger-Congo	5.70306	10.1446
464	ngos1238	Phoible	NA	Ngoshie	Bantoid	Niger-Congo	6.04616	9.83193
465	nige1255	Phoible	NA	Nigeria Mambila	Bantoid	Niger-Congo	6.69736	11.3161
466	nige1253	Phoible	NA	Nigerian Fulfulde	Northern Atlantic	Niger-Congo	10.9972	11.1188
467	nobi1240	Phoible	NA	Nobiin	Nubian	Nubian	22.8142	31.8376
468	noma1260	Phoible	NA	Nomaande	Bantoid	Niger-Congo	4.5893	10.9157
469	noon1243	Phoible	NA	Noone	Bantoid	Niger-Congo	6.37256	10.5707
470	nort3047	Phoible	NA	North Giziga	Biu-Mandara	Afro-Asiatic	10.6755	14.219
471	nort2815	Phoible	NA	Northeastern Dinka	Nilotic	Nilotic	9.27995	31.8392
472	nort2784	Phoible	NA	Northern Nuni	Gur	Niger-Congo	12.131	-2.98206
473	ntom1248	Phoible	NA	Ntomba	Bantoid	Niger-Congo	-1.99062	18.265
474	nubi1253	Phoible	NA	Nubi	Creoles and Pidgins	other	-0.183215	34.7552
475	nucl1440	Phoible	NA	Nuclear Masalit	Maban	Maban	13.2733	22.1752
476	nucl1339	Phoible	NA	Nuclear Temein	Temein	Temein	11.8275	29.3898
477	nuer1246	Phoible	NA	Nuer	Nilotic	Nilotic	8.13911	32.3829
478	nyan1313	Phoible	NA	Nyang'i	Kuliak	Kuliak	3.4997	33.7365
479	nyol1238	Phoible	NA	Nyole	Bantoid	Niger-Congo	0.88072	33.9181
480	opuu1239	Phoible	NA	Opuuo	Koman	Koman	8.47526	33.853
481	otor1240	Phoible	NA	Otoro	Heiban	Heiban	11.1187	30.573
482	otuh1238	Phoible	NA	Otuho	Nilotic	Nilotic	4.16379	32.6641
483	pang1287	Phoible	NA	Pangwa	Bantoid	Niger-Congo	-9.96782	34.8039
484	park1239	Phoible	NA	Parkwa	Biu-Mandara	Afro-Asiatic	11.0206	14.0964
485	peve1243	Phoible	NA	Peve	Masa	Afro-Asiatic	9.16111	14.441
486	piny1238	Phoible	NA	Pinyin	Bantoid	Niger-Congo	5.7991	10.0682
487	poko1263	Phoible	NA	Pokoot	Nilotic	Nilotic	1.57023	35.2318
488	pula1263	Phoible	NA	Pulaar	Northern Atlantic	Niger-Congo	13.8694	-13.4482
489	qima1242	Phoible	NA	Qimant	Central Cushitic	Afro-Asiatic	12.8119	37.0542
490	reel1238	Phoible	NA	Reel	Nilotic	Nilotic	6.32234	30.4945
491	rend1243	Phoible	NA	Rendille	Eastern Cushitic	Afro-Asiatic	2.27065	37.3608
492	rong1268	Phoible	NA	Ronga	Bantoid	Niger-Congo	-26.7329	32.6167
493	saam1283	Phoible	NA	Saamia	Bantoid	Niger-Congo	34.03	0.37
494	saba1262	Phoible	NA	Sabaot	Nilotic	Nilotic	1.01297	34.6664
495	sand1273	Phoible	NA	Sandawe	Sandawe	Sandawe	-5.26918	35.4808
496	saot1239	Phoible	NA	Saotomense	Creoles and Pidgins	other	0.28332	6.61935
497	seba1251	Phoible	NA	Sebat Bet Gurage	Semitic	Afro-Asiatic	8.11879	37.9891
498	shab1252	Phoible	NA	Shabo	Shabo	Shabo	7.64407	35.223
499	shal1242	Phoible	NA	Shall-Zwall	Platoid	Niger-Congo	9.87556	9.64988
500	shil1265	Phoible	NA	Shilluk	Nilotic	Nilotic	9.85472	31.7926
501	shon1251	Phoible	NA	Shona	Bantoid	Niger-Congo	-17.2085	29.7572
502	shwa1239	Phoible	NA	Shwai	Heiban	Heiban	11.2708	30.3533
503	sida1246	Phoible	NA	Sidamo	Eastern Cushitic	Afro-Asiatic	6.74176	38.3729
504	silt1240	Phoible	NA	Silt'e	Semitic	Afro-Asiatic	7.77004	38.1449
505	siwi1239	Phoible	NA	Siwi	Berber	Afro-Asiatic	29.2023	25.5197
506	soma1255	Phoible	NA	Somali	Eastern Cushitic	Afro-Asiatic	3.15088	40.4818
507	soni1259	Phoible	NA	Soninke	Western Mande	Niger-Congo	13.1273	-11.7178
508	sooo1256	Phoible	NA	Soo	Kuliak	Kuliak	2.58367	34.7595
509	sout2833	Phoible	NA	South Central Dinka	Nilotic	Nilotic	6.7307	30.3021
510	sout2795	Phoible	NA	Southern Nuni	Gur	Niger-Congo	11.5186	-2.14385
511	sout2844	Phoible	NA	Southern Samo	Southeastern Mande	Niger-Congo	12.713	-2.9052
512	subi1246	Phoible	NA	Subiya	Bantoid	Niger-Congo	-17.5696	24.8867
513	suda1236	Phoible	NA	Sudanese Arabic	Semitic	Afro-Asiatic	17.8021	33.3179
514	suri1267	Phoible	NA	Suri	Surmic	Surmic	6.03205	35.0823
515	swah1253	Phoible	NA	Swahili	Bantoid	Niger-Congo	-8.25605	37.624
516	tach1250	Phoible	NA	Tachelhit	Berber	Afro-Asiatic	29.7854	-7.77879
517	tada1238	Phoible	NA	Tadaksahak	Songhay	Songhay	16.685	2.32653
518	taha1241	Phoible	NA	Tahaggart Tamahaq	Berber	Afro-Asiatic	22.5908	8.73169
519	talo1250	Phoible	NA	Talodi	Talodi Proper	Talodi Proper	10.6453	30.4815
520	tama1331	Phoible	NA	Tama (Chad)	Taman	Taman	14.332	21.9951
521	tama1365	Phoible	NA	Tamasheq	Berber	Afro-Asiatic	14.2038	-2.41269
522	tari1263	Phoible	NA	Tarifit	Berber	Afro-Asiatic	35.3281	-1.87354
523	tawa1286	Phoible	NA	Tawallammat Tamajaq	Berber	Afro-Asiatic	13.9878	4.47692
524	teda1241	Phoible	NA	Tedaga	Western Saharan	Saharan	18.0426	14.7717
525	teke1280	Phoible	NA	Teke-Kukuya	Bantoid	Niger-Congo	-2.27122	14.4407
526	tera1251	Phoible	NA	Tera	Biu-Mandara	Afro-Asiatic	11.0376	11.8095
527	tese1238	Phoible	NA	Tese	Temein	Temein	11.3885	29.5803
528	tigr1270	Phoible	NA	Tigre	Semitic	Afro-Asiatic	17.3494	38.2233
529	tigr1271	Phoible	NA	Tigrinya	Semitic	Afro-Asiatic	15.3359	38.9266
530	tira1254	Phoible	NA	Tira	Heiban	Heiban	11.0963	30.8092
531	tong1318	Phoible	NA	Tonga (Zambia)	Bantoid	Niger-Congo	-17.4223	27.1035
532	topo1242	Phoible	NA	Toposa	Nilotic	Nilotic	5.15904	34.2159
533	tote1238	Phoible	NA	Totela	Bantoid	Niger-Congo	-16.9575	24.3751
534	tsot1241	Phoible	NA	Tsotso	Bantoid	Niger-Congo	0.30	34.70
535	tsuv1239	Phoible	NA	Tsuvadi	Kainji	Niger-Congo	10.8421	5.22095
536	tuli1249	Phoible	NA	Tulishi	Kadugli	Kadugli	11.4507	29.108
537	tumt1243	Phoible	NA	Tumtum	Kadugli	Kadugli	10.6378	30.4128
538	tune1241	Phoible	NA	Tunen	Bantoid	Niger-Congo	4.67724	10.5456
539	tuni1251	Phoible	NA	Tunia	Adamawa	Niger-Congo	9.42506	18.2059
540	uduk1239	Phoible	NA	Uduk	Koman	Koman	9.16012	34.2293
541	umbu1257	Phoible	NA	Umbundu	Bantoid	Niger-Congo	-12.4763	14.4148
542	uppe1455	Phoible	NA	Upper Guinea Crioulo	Creoles and Pidgins	other	13.2335	-15.3325
543	vame1236	Phoible	NA	Vame	Biu-Mandara	Afro-Asiatic	10.9481	14.2131
544	wand1278	Phoible	NA	Wandala	Biu-Mandara	Afro-Asiatic	11.3169	13.8996
545	west2500	Phoible	NA	Western Maninkakan	Western Mande	Niger-Congo	13.5677	-12.8009
546	west2454	Phoible	NA	Western Niger Fulfulde	Northern Atlantic	Niger-Congo	14.2471	-0.52004
547	wola1242	Phoible	NA	Wolaytta	North Omotic	Afro-Asiatic	6.32668	37.7537
548	wong1247	Phoible	NA	Wongo	Bantoid	Niger-Congo	-5.73837	20.5054
549	wuzl1236	Phoible	NA	Wuzlam	Biu-Mandara	Afro-Asiatic	10.955	14.1378
550	xamt1239	Phoible	NA	Xamtanga	Central Cushitic	Afro-Asiatic	12.4479	38.8352
551	xhos1239	Phoible	NA	Xhosa	Bantoid	Niger-Congo	-31.0389	28.0769
552	yalu1240	Phoible	NA	Yalunka	Western Mande	Niger-Congo	9.97186	-11.2836
553	yamb1252	Phoible	NA	Yambeta	Bantoid	Niger-Congo	4.83615	10.9369
554	yans1239	Phoible	NA	Yansi	Bantoid	Niger-Congo	-3.8231	18.2341
555	yaoo1241	Phoible	NA	Yao	Bantoid	Niger-Congo	-13.6119	35.2387
556	yemb1246	Phoible	NA	Yemba	Bantoid	Niger-Congo	5.47421	10.0214
557	yems1235	Phoible	NA	Yemsa	North Omotic	Afro-Asiatic	7.79821	37.4412
558	yeyi1239	Phoible	NA	Yeyi	Bantoid	Niger-Congo	-18.9178	23.6088
559	zagh1240	Phoible	NA	Zaghawa	Eastern Saharan	Saharan	17.4842	23.4626
560	zayy1238	Phoible	NA	Zay	Semitic	Afro-Asiatic	8.01148	38.8258
561	zays1235	Phoible	NA	Zayse-Zergulla	North Omotic	Afro-Asiatic	5.83747	37.3409
562	zulg1242	Phoible	NA	Zulgo-Gemzek	Biu-Mandara	Afro-Asiatic	10.827	14.0578
563	zulu1248	Phoible	NA	Zulu	Bantoid	Niger-Congo	-25.3305	31.3512
564	sout2834	Phoible	NA	Southwestern Dinka	Nilotic	Nilotic	8.81	28.06
565	nort2815	Phoible	NA	Northeastern Dinka	Nilotic	Nilotic	9.28	31.84
